id,ticker,company,statement_date,speaker,source_type,risk_theme,statement,source_url
S1,JPM,JPMorgan Chase,2023-01-13,Jamie Dimon,earnings_release,consumer_credit,"The U.S. economy currently remains strong with consumers still spending excess cash and businesses healthy. However, we still do not know the ultimate effect of the headwinds coming from geopolitical tensions including the war in Ukraine, the vulnerable state of energy and food supplies, persistent inflation that is eroding purchasing power and has pushed interest rates higher, and the unprecedented quantitative tightening.",https://www.sec.gov/Archives/edgar/data/0000019617/000001961723000063/a4q22erfexhibit991narrative.htm
S2,JPM,JPMorgan Chase,2023-01-13,Jeremy Barnum (CFO),earnings_call_transcript,consumer_credit,"The entry to delinquency rate is the leading indicator of future charge-offs, and it is currently around 80% of pre-pandemic levels. We expect that to normalize around the middle of the year with the associated charge-offs falling about six months later. As a result, loss rates in 2023 will still be normalizing. While we anticipate exiting the year around normalized levels, we expect the 2023 card net charge-off rate to be approximately 2.6%, up from the historically low rate of 147 basis points of 2022 but still well below fully normalized levels.",https://www.fool.com/earnings/call-transcripts/2023/01/13/jpmorgan-chase-jpm-q4-2022-earnings-call-transcrip/
S3,JPM,JPMorgan Chase,2023-04-14,Jamie Dimon,earnings_release,consumer_credit,"In Consumer & Community Banking, consumer spending remained healthy with combined debit and credit card sales up 10% and card loans up 21%. The U.S. economy continues to be on generally healthy footings -- consumers are still spending and have strong balance sheets, and businesses are in good shape.",https://www.sec.gov/Archives/edgar/data/19617/000162828023011546/a1q23erfexhibit991narrative.htm
S4,JPM,JPMorgan Chase,2023-07-14,Jeremy Barnum (CFO),earnings_call_transcript,consumer_credit,"I mean, to us, I think we still see this as a normalization, not a deterioration story when we talk about consumer credit. Actually, revolve per account has still not gotten to pre-pandemic levels actually.",https://www.fool.com/earnings/call-transcripts/2023/07/14/jpmorgan-chase-jpm-q2-2023-earnings-call-transcrip/
S5,JPM,JPMorgan Chase,2023-10-13,Jeremy Barnum (CFO),earnings_call_transcript,consumer_credit,"Where am I seeing softness in credit. And I think the answer to that is actually nowhere roughly or certainly nowhere that's not expected, meaning we continue to see the normalization story play out in consumer more or less exactly as expected.",https://www.fool.com/earnings/call-transcripts/2023/10/13/jpmorgan-chase-jpm-q3-2023-earnings-call-transcrip/
S6,JPM,JPMorgan Chase,2024-01-12,Jamie Dimon,earnings_release,consumer_credit,"Our record results in 2023 reflect over-earning on both NII and credit, but we remain confident in our ability to continue to deliver very healthy returns even after they normalize. The U.S. economy continues to be resilient, with consumers still spending, and markets currently expect a soft landing.",https://www.sec.gov/Archives/edgar/data/19617/000001961724000049/a4q23erfexhibit991narrative.htm
S7,BAC,Bank of America,2023-01-13,Brian Moynihan (CEO),earnings_call_transcript,consumer_credit,Credit card charge-offs increased in Quarter 4 as a result of the flow through of modest increase in last quarter's late-stage delinquencies. This should continue as we transition off the historic lows in delinquencies to still very low pre-pandemic levels.,https://www.fool.com/earnings/call-transcripts/2023/01/13/bank-of-america-bac-q4-2022-earnings-call-transcri/
S8,BAC,Bank of America,2023-04-18,Alastair Borthwick (CFO),earnings_release,consumer_credit,"Asset quality remained strong with net charge-offs, while normalizing, still below pre-pandemic levels.",https://www.sec.gov/Archives/edgar/data/70858/000007085823000131/bac-03312023ex991.htm
S9,BAC,Bank of America,2023-07-18,Alastair Borthwick (CFO),earnings_call_transcript,consumer_credit,"If you look at our charge-offs, for example, that's mainly about loan growth and a little bit about the rate picking up just a little bit. But it's still well below pandemic. Fourth quarter '19 was a great quarter for asset quality and cards. So it gets back to this idea that the consumer is still in a pretty healthy place.",https://www.fool.com/earnings/call-transcripts/2023/07/18/bank-of-america-bac-q2-2023-earnings-call-transcri/
S10,BAC,Bank of America,2023-10-17,Alastair Borthwick (CFO),earnings_call_transcript,consumer_credit,"Most of the net charge-off increase over time has been really due to card and consumer card. And the charge-offs at this point are still lower than they were in the fourth quarter of '19, which was a stellar period. And I'd anticipate in the short term that you'd see things begin to -- or just continue that trend.",https://www.fool.com/earnings/call-transcripts/2023/10/17/bank-of-america-bac-q3-2023-earnings-call-transcri/
S11,BAC,Bank of America,2024-01-12,Brian Moynihan (CEO),earnings_call_transcript,consumer_credit,"The consumers of Bank of America have had access to credit and are borrowing responsibly. Their balance sheets are generally in good shape. And while impacted by higher rates, remember, many of them have fixed rate mortgages and remain employed.",https://www.fool.com/earnings/call-transcripts/2024/01/12/bank-of-america-bac-q4-2023-earnings-call-transcri/
S12,C,Citigroup,2023-01-13,Jane Fraser (CEO),earnings_call_transcript,consumer_credit,"We are expecting, under the current trajectory, to see the loss rates reach the pre-COVID levels more at the year-end, early '24 level. If we think of branded cards, if I was to quantify, they're 20% of the way there now. CRS, we're about 40% of the way there now.",https://www.fool.com/earnings/call-transcripts/2023/01/14/citigroup-c-q4-2022-earnings-call-transcript/
S13,C,Citigroup,2023-04-14,Mark Mason (CFO),earnings_call_transcript,consumer_credit,"Cost of credit was approximately $2 billion, primarily driven by the continued normalization in card net credit losses, an ACL and other provision build of approximately $700 million, largely related to a deterioration in macroeconomic assumptions and growth in card revolving balance. At the end of the quarter, we had nearly $20 billion in total reserves with the reserve to funded loan ratio of approximately 2.7%.",https://news.alphastreet.com/citigroup-inc-c-q1-2023-earnings-call-transcript/
S14,C,Citigroup,2023-07-14,Jane Fraser (CEO),earnings_call_transcript,consumer_credit,"We see the U.S. consumer as resilient. We've talked about them being cautious, but they're not recessionary. And we are seeing more pressure on the lower FICOs. We don't have a large number of that in our portfolio. That is where we're seeing more of the normalization happening on the payment rates, for example, and other behaviors in there. So it's quite localized, but I don't think we should be overly concerned here about the health of the U.S. consumer.",https://www.fool.com/earnings/call-transcripts/2023/07/14/citigroup-c-q2-2023-earnings-call-transcript/
S15,C,Citigroup,2023-10-13,Jane Fraser (CEO),earnings_call_transcript,consumer_credit,"Our portfolio is very prime. This is not the old Citi. It's very different in terms of our consumer credit exposure. This should all be very manageable. There's no alarm bells going off at Citi around this. We're being prudent, conservative, and responsible on it. But there's no alarm bell ringing.",https://www.fool.com/earnings/call-transcripts/2023/10/13/citigroup-c-q3-2023-earnings-call-transcript/
S16,C,Citigroup,2024-01-12,Mark Mason (CFO),earnings_call_transcript,consumer_credit,"You can see on the slide how there was a dip in loss rates during the COVID period. So to some extent, what we're seeing is kind of a catch-up of those, as those portfolios go through a longer maturation than what you'd normally see in a cards portfolio. As we look at the early buckets and the delinquencies that are playing out, we've got a pretty good sense for when we would expect those to peak and at what level. We think they'll peak inside of '24.",https://www.fool.com/earnings/call-transcripts/2024/01/12/citigroup-c-q4-2023-earnings-call-transcript/
